Category,Sub-Category
Beverages,Yogurt Drinks
Beverages,Energy Drinks
Beverages,Bottled Water
Beverages,Soft Drinks
Beverages,Tea & Juice
Liquor & Tobacco,Cigarettes & Lighters
Liquor & Tobacco,Beer & Wine
Liquor & Tobacco,Spirits
Dairy & Bakery,Liquid Milk & Cream
Dairy & Bakery,Cheese & Margarine
Dairy & Bakery,Bread & Bakery
Dairy & Bakery,Ice Cream
Dairy & Bakery,Frozen & Chilled Meat
Pantry & Cooking,Powdered Milk
Pantry & Cooking,Condensed & Evap Milk
Pantry & Cooking,Instant Noodles
Pantry & Cooking,Pasta & Noodles
Pantry & Cooking,Pasta Sauce
Pantry & Cooking,Soy Vinegar & Patis
Pantry & Cooking,Ketchup & Sauces
Pantry & Cooking,Bouillon & Seasoning
Pantry & Cooking,Cooking Oil
Pantry & Cooking,Sugar Salt Flour & Baking
Pantry & Cooking,Coffee & Hot Drinks
Pantry & Cooking,Spreads
Pantry & Cooking,Cereals & Oats
Canned Goods,Canned Fish
Canned Goods,Canned Meat
Canned Goods,Canned Fruits or Vegetables
Snacks & Confectionery,"Crackers, Cakes & Cookies"
Snacks & Confectionery,Chips & Curls
Snacks & Confectionery,Chocolate & Candy
Personal Care,Bath Soap
Personal Care,Hair Care
Personal Care,Oral Care
Personal Care,Deodorant & Cologne
Personal Care,Lotion & Skin Care
Personal Care,Sanitary Napkins
Health & Pharmacy,First Aid & OTC
Health & Pharmacy,Female Hygiene Wash
Household,Laundry
Household,Dishwashing
Household,Bleach & Cleaners
Household,Insect Killer
Household,Air Freshener
Household,Alcohol & Sanitizer
Household,Tissue & Cotton
Baby,Infant Formula
Baby,Diapers
Baby,Baby Toiletries
Baby,Baby Wipes & Cotton
Misc,Pet Food
Misc,Candles & Matches
Misc,Batteries
Misc,School & Office Supplies
Misc,Kitchen & Household Tools
Misc,Plastic & Packaging
Misc,Others
Misc,Operations
Outsource,Outsource
